YEAR,CITY,SPORT,ATHLETE,COUNTRY,GENDER,EVENT,MEDAL
1924,Chamonix,Skating,"BRUNET, Andree",FRA,Women,Pairs,Bronze
1928,St.Moritz,Skating,"LOUGHRAN, Beatrix",USA,Women,Individual,Bronze
1924,Chamonix,Skating,"MUCKELT, Ethel",GBR,Women,Individual,Bronze
1928,St.Moritz,Skating,"BRUNNER, Melitta",AUT,Women,Pairs,Bronze
1932,Lake Placid,Skating,"VINSON, Maribel",USA,Women,Individual,Bronze
1948,St.Moritz,Skating,"MORROW, Suzanne",CAN,Women,Pairs,Bronze
1932,Lake Placid,Skating,"ROTTER, Emilia",HUN,Women,Pairs,Bronze
1956,Cortina d'Ampezzo,Skiing,"WHEELER, Lucile",CAN,Women,Downhill,Bronze
1936,Garmisch Partenkirchen,Skating,"HULTEN, Vivi-Anne",SWE,Women,Individual,Bronze
1936,Garmisch Partenkirchen,Skating,"ROTTER, Emilia",HUN,Women,Pairs,Bronze
1936,Garmisch Partenkirchen,Skiing,"SCHOU-NILSEN, Laila",NOR,Women,Alpine Combined,Bronze
1948,St.Moritz,Skating,"ALTWEGG, Jeannette",GBR,Women,Individual,Bronze
1960,Squaw Valley,Skating,"ASHWORTH, Jeanne",USA,Women,500M,Bronze
1960,Squaw Valley,Skating,"LUDINGTON, Nancy",USA,Women,Pairs,Bronze
1948,St.Moritz,Skiing,"HAMMERER, Resi",AUT,Women,Downhill,Bronze
1948,St.Moritz,Skiing,"MAHRINGER, Erika",AUT,Women,Alpine Combined,Bronze
1948,St.Moritz,Skiing,"MAHRINGER, Erika",AUT,Women,Slalom,Bronze
1960,Squaw Valley,Skating,"ROLES, Barbara",USA,Women,Individual,Bronze
1964,Innsbruck,Skating,"BURKA, Petra",CAN,Women,Individual,Bronze
1964,Innsbruck,Skating,"JOSEPH, Ronald",USA,Women,Pairs,Bronze
1952,Oslo,Skiing,"BUCHNER, Mirl",FRG,Women,Giant Slalom,Bronze
1952,Oslo,Skiing,"BUCHNER, Mirl",FRG,Women,Slalom,Bronze
1952,Oslo,Skating,"DU BIEF, Jacqueline",FRA,Women,Individual,Bronze
1964,Innsbruck,Skiing,"SAUBERT, Jean",USA,Women,Slalom,Bronze
1968,Grenoble,Skating,"HOLUM, Dianne",USA,Women,1000M,Bronze
1972,Sapporo,Skiing,"CORROCK, Susan",USA,Women,Downhill,Bronze
1952,Oslo,Skiing,"MINUZZO CHENAL, Giuliana",ITA,Women,Downhill,Bronze
1952,Oslo,Skating,"NAGY, Marianna",HUN,Women,Pairs,Bronze
1952,Oslo,Skiing,"RANTANEN, Siiri",FIN,Women,10KM,Bronze
1972,Sapporo,Skating,"HENNING, Anne",USA,Women,1000M,Bronze
1972,Sapporo,Skating,"LYNN, Janet",USA,Women,Individual,Bronze
1956,Cortina d'Ampezzo,Skiing,"EDSTRe_M, Sonja",SWE,Women,10KM,Bronze
1956,Cortina d'Ampezzo,Skiing,"EDSTRe_M, Sonja",SWE,Women,3X5KM Relay,Bronze
1956,Cortina d'Ampezzo,Skiing,"ERIKSSON, Anna Lisa",SWE,Women,3X5KM Relay,Bronze
1976,Innsbruck,Skiing,"NELSON, Cynthia",USA,Women,Downhill,Bronze
1956,Cortina d'Ampezzo,Skiing,"HOCHLEITNER, Dorothea",AUT,Women,Giant Slalom,Bronze
1956,Cortina d'Ampezzo,Skiing,"JOHANSSON, Irma",SWE,Women,3X5KM Relay,Bronze
1956,Cortina d'Ampezzo,Skating,"NAGY, Marianna",HUN,Women,Pairs,Bronze
1956,Cortina d'Ampezzo,Skiing,"SIDOROVA, Yevgeniya",URS,Women,Slalom,Bronze
1956,Cortina d'Ampezzo,Skating,"WENDL, Ingrid",AUT,Women,Individual,Bronze
1976,Innsbruck,Skating,"O'CONNOR, Colleen",USA,Women,Ice Dancing,Bronze
1976,Innsbruck,Skating,"YOUNG, Sheila",USA,Women,1000M,Bronze
1960,Squaw Valley,Skiing,"HECHER, Traudl",AUT,Women,Downhill,Bronze
1980,Lake Placid,Skating,"HEIDEN, Beth",USA,Women,3000M,Bronze
1988,Calgary,Skating,"BLAIR, Bonnie",USA,Women,1000M,Bronze
1960,Squaw Valley,Skiing,"HENNEBERGER, Barbi",EUA,Women,Slalom,Bronze
1960,Squaw Valley,Skating,"HUTTUNEN, Eevi",FIN,Women,3000M,Bronze
1988,Calgary,Skiing,"PERCY, Karen",CAN,Women,Downhill,Bronze
1960,Squaw Valley,Skiing,"MINUZZO CHENAL, Giuliana",ITA,Women,Giant Slalom,Bronze
1960,Squaw Valley,Skiing,"Pe_YSTI, Toini K.",FIN,Women,3X5KM Relay,Bronze
1960,Squaw Valley,Skating,"PILEJCZYK, Helena",POL,Women,1500M,Bronze
1988,Calgary,Skiing,"PERCY, Karen",CAN,Women,Super-G,Bronze
1988,Calgary,Skating,"THOMAS, Debra",USA,Women,Individual,Bronze
1960,Squaw Valley,Skiing,"RANTANEN, Siiri",FIN,Women,3X5KM Relay,Bronze
1988,Calgary,Skating,"WATSON, Jill",USA,Women,Pairs,Bronze
1960,Squaw Valley,Skiing,"RUOPPA, Eeva",FIN,Women,3X5KM Relay,Bronze
1960,Squaw Valley,Skating,"RYLOVA, Tamara",URS,Women,1000M,Bronze
1988,Calgary,Skating,"WILSON, Tracy",CAN,Women,Ice Dancing,Bronze
1992,Albertville,Biathlon,"BEDARD, Myriam",CAN,Women,15KM,Bronze
1960,Squaw Valley,Skiing,"YEROSHINA, Radya",URS,Women,10KM,Bronze
1992,Albertville,Skating,"BRASSEUR, Isabelle",CAN,Women,Pairs,Bronze
1964,Innsbruck,Skiing,"GUSAKOVA, Mariya",URS,Women,10KM,Bronze
1964,Innsbruck,Skiing,"HECHER, Traudl",AUT,Women,Downhill,Bronze
1992,Albertville,Skating,"KERRIGAN, Nancy",USA,Women,Individual,Bronze
1964,Innsbruck,Skiing,"KOLCHINA, Alevtina",URS,Women,5KM,Bronze
1964,Innsbruck,Skating,"KOLOKOLTSEVA, Berta",URS,Women,1500M,Bronze
1964,Innsbruck,Skiing,"LEHTONEN, Mirja",FIN,Women,3X5KM Relay,Bronze
1964,Innsbruck,Skating,"MUSTONEN, Kaija",FIN,Women,1000M,Bronze
1964,Innsbruck,Skiing,"Pe_YSTI, Toini K.",FIN,Women,3X5KM Relay,Bronze
1964,Innsbruck,Skiing,"PUSULA, Senja",FIN,Women,3X5KM Relay,Bronze
1994,Lillehammer,Skating,"BRASSEUR, Isabelle",CAN,Women,Pairs,Bronze
1994,Lillehammer,Skating,"CASHMAN, Karen",USA,Women,3000M Relay,Bronze
1964,Innsbruck,Skating,"SIDOROVA, Tatyana",URS,Women,500M,Bronze
1964,Innsbruck,Luge,"THURNER, Helene",AUT,Women,Singles,Bronze
1994,Lillehammer,Skating,"PETERSON, Amy",USA,Women,3000M Relay,Bronze
1968,Grenoble,Skiing,"ACHKINA, Rita",URS,Women,3X5KM Relay,Bronze
1968,Grenoble,Skiing,"AUFLES, Inger",NOR,Women,10KM,Bronze
1968,Grenoble,Skiing,"BOCHATAY, Fernande",SUI,Women,Giant Slalom,Bronze
1968,Grenoble,Luge,"DeeNHAUPT, Angelika",FRG,Women,Singles,Bronze
1968,Grenoble,Skiing,"FAMOSE, Annie",FRA,Women,Slalom,Bronze
1994,Lillehammer,Skating,"PETERSON, Amy",USA,Women,500M,Bronze
1994,Lillehammer,Skating,"SUNDSTROM, Shana",USA,Women,3000M Relay,Bronze
1968,Grenoble,Skating,"GLOCKSHUBER, Margot",FRG,Women,Pairs,Bronze
1994,Lillehammer,Skating,"TURNER, Cathy",USA,Women,3000M Relay,Bronze
1994,Lillehammer,Skating,"ZIEGELMEYER, Nikki",USA,Women,3000M Relay,Bronze
1968,Grenoble,Skiing,"HAAS, Christl",AUT,Women,Downhill,Bronze
1998,Nagano,Skating,"BOUDRIAS, Christine",CAN,Women,3000M Relay,Bronze
1998,Nagano,Skating,"CHAREST, Isabelle",CAN,Women,3000M Relay,Bronze
1968,Grenoble,Skating,"KAISER, Christina",NED,Women,1500M,Bronze
1968,Grenoble,Skating,"KAISER, Christina",NED,Women,3000M,Bronze
1968,Grenoble,Skiing,"KOLCHINA, Alevtina",URS,Women,3X5KM Relay,Bronze
1968,Grenoble,Skiing,"KOLCHINA, Alevtina",URS,Women,5KM,Bronze
1968,Grenoble,Skiing,"KULAKOVA, Galina",URS,Women,3X5KM Relay,Bronze
1968,Grenoble,Skating,"MASKOVA, Hana",TCH,Women,Individual,Bronze
1998,Nagano,Skiing,"DUNN-DOWNING, Shannon",USA,Women,Half-Pipe,Bronze
1972,Sapporo,Skiing,"AUFLES, Inger",NOR,Women,3X5KM Relay,Bronze
1998,Nagano,Skating,"LEMAY DOAN, Catriona",CAN,Women,1000M,Bronze
1998,Nagano,Skating,"PERREAULT, Annie",CAN,Women,3000M Relay,Bronze
1972,Sapporo,Skiing,"DAHL, Aslaug",NOR,Women,3X5KM Relay,Bronze
1972,Sapporo,Skating,"DEELSTRA, Atje",NED,Women,1500M,Bronze
1972,Sapporo,Skating,"DEELSTRA, Atje",NED,Women,3000M,Bronze
1972,Sapporo,Skiing,"DREXEL, Wiltrud",AUT,Women,Giant Slalom,Bronze
1972,Sapporo,Skating,"GROSS, Manuela",GDR,Women,Pairs,Bronze
1998,Nagano,Skating,"VICENT, Tania",CAN,Women,3000M Relay,Bronze
1998,Nagano,Skating,"WITTY, Christine",USA,Women,1500M,Bronze
2002,Salt Lake City,Skating,"CHAREST, Isabelle",CAN,Women,3000M Relay,Bronze
2002,Salt Lake City,Skiing,"DIONNE, Deidra",CAN,Women,Aerials,Bronze
1972,Sapporo,Skiing,"KAJOSMAA, Marjatta",FIN,Women,10KM,Bronze
2002,Salt Lake City,Skating,"DROLET, Marie-Eve",CAN,Women,3000M Relay,Bronze
2002,Salt Lake City,Skating,"GOULET-NADON, Amelie",CAN,Women,3000M Relay,Bronze
1972,Sapporo,Skiing,"Me_RDRE, Berit",NOR,Women,3X5KM Relay,Bronze
1972,Sapporo,Luge,"SCHUMANN, Margit",GDR,Women,Singles,Bronze
1972,Sapporo,Skiing,"SIKOLOVA, Helena",TCH,Women,5KM,Bronze
1972,Sapporo,Skiing,"STEURER, Florence",FRA,Women,Slalom,Bronze
1972,Sapporo,Skating,"TITOVA, Lyudmila",URS,Women,500M,Bronze
1976,Innsbruck,Skating,"AVERINA, Tatyana",URS,Women,1500M,Bronze
1976,Innsbruck,Skating,"AVERINA, Tatyana",URS,Women,500M,Bronze
1976,Innsbruck,Skiing,"BALDYCHEVA, Nina",URS,Women,5KM,Bronze
1976,Innsbruck,Skiing,"DEBERNARD, Danieele",FRA,Women,Giant Slalom,Bronze
1976,Innsbruck,Skiing,"DEBERTSHeUSER, Monika",GDR,Women,4X5KM Relay,Bronze
1976,Innsbruck,Luge,"DEMLEITNER, Elisabeth",FRG,Women,Singles,Bronze
1976,Innsbruck,Skating,"ERRATH, Christine",GDR,Women,Individual,Bronze
1976,Innsbruck,Skating,"GROSS, Manuela",GDR,Women,Pairs,Bronze
2002,Salt Lake City,Skating,"HUGHES, Clara",CAN,Women,5000M,Bronze
1976,Innsbruck,Skating,"KORSMO, Lisbeth",NOR,Women,3000M,Bronze
1976,Innsbruck,Skiing,"KRAUSE, Sigrun",GDR,Women,4X5KM Relay,Bronze
2002,Salt Lake City,Skating,"KLASSEN, Cindy",CAN,Women,3000M,Bronze
1976,Innsbruck,Skiing,"KULAKOVA, Galina",URS,Women,10KM,Bronze
2002,Salt Lake City,Skating,"KRAUS, Alanna",CAN,Women,3000M Relay,Bronze
2002,Salt Lake City,Skating,"KWAN, Michelle",USA,Women,Individual,Bronze
2002,Salt Lake City,Curling,"LAW, Kelley",CAN,Women,Curling,Bronze
1976,Innsbruck,Skiing,"PETZOLD, Barbara",GDR,Women,4X5KM Relay,Bronze
2002,Salt Lake City,Curling,"NELSON, Diane",CAN,Women,Curling,Bronze
1976,Innsbruck,Skiing,"SCHMIDT, Veronika",GDR,Women,4X5KM Relay,Bronze
1976,Innsbruck,Skiing,"WENZEL, Hanni",LIE,Women,Slalom,Bronze
2002,Salt Lake City,Curling,"NOBLE, Cheryl",CAN,Women,Curling,Bronze
2002,Salt Lake City,Skating,"RODRIGUEZ, Jennifer",USA,Women,1000M,Bronze
2002,Salt Lake City,Skating,"RODRIGUEZ, Jennifer",USA,Women,1500M,Bronze
1980,Lake Placid,Skating,"ALBRECHT, Silvia",GDR,Women,1000M,Bronze
1980,Lake Placid,Luge,"AMANTOVA, Ingrida",URS,Women,Singles,Bronze
1980,Lake Placid,Skiing,"AUNLI, Berit",NOR,Women,4X5KM Relay,Bronze
1980,Lake Placid,Skiing,"Be_E, Anette",NOR,Women,4X5KM Relay,Bronze
1980,Lake Placid,Skating,"BECKER, Sabine",GDR,Women,1500M,Bronze
2002,Salt Lake City,Curling,"SKINNER, Julie",CAN,Women,Curling,Bronze
2002,Salt Lake City,Skating,"VICENT, Tania",CAN,Women,3000M Relay,Bronze
1980,Lake Placid,Skiing,"HESS, Erika",SUI,Women,Slalom,Bronze
1980,Lake Placid,Skiing,"JERIOVA, Kvetoslava",TCH,Women,5KM,Bronze
1980,Lake Placid,Skating,"LURZ, Dagmar",FRG,Women,Individual,Bronze
1980,Lake Placid,Skating,"MAGER, Manuela",GDR,Women,Pairs,Bronze
1980,Lake Placid,Skating,"MOISEYEVA, Irina",URS,Women,Ice Dancing,Bronze
2002,Salt Lake City,Curling,"WHEATCROFT, Georgina",CAN,Women,Curling,Bronze
2006,Turin,Curling,"BAKKER, Glenys",CAN,Women,Curling,Bronze
1980,Lake Placid,Skiing,"MYRMAEL, Marit",NOR,Women,4X5KM Relay,Bronze
1980,Lake Placid,Skiing,"NADIG, Marie-Theres",SUI,Women,Downhill,Bronze
1980,Lake Placid,Skiing,"PELEN, Perrine",FRA,Women,Giant Slalom,Bronze
1980,Lake Placid,Skating,"PETRUSEVA, Natalya",URS,Women,500M,Bronze
1980,Lake Placid,Skiing,"PETTERSEN, Brit",NOR,Women,4X5KM Relay,Bronze
1980,Lake Placid,Skiing,"TAKALO, Helena",FIN,Women,10KM,Bronze
2006,Turin,Ice Hockey,"CAHOW, Caitlin",USA,Women,Ice Hockey,Bronze
2006,Turin,Ice Hockey,"CHU, Julie",USA,Women,Ice Hockey,Bronze
1984,Sarajevo,Skiing,"CHARVATOVA, Olga",TCH,Women,Downhill,Bronze
2006,Turin,Ice Hockey,"DARWITZ, Natalie",USA,Women,Ice Hockey,Bronze
1984,Sarajevo,Skiing,"HYYTIAINEN, Eija",FIN,Women,4X5KM Relay,Bronze
1984,Sarajevo,Skating,"IVANOVA, Kira",URS,Women,Individual,Bronze
1984,Sarajevo,Skiing,"JAHREN, Anne",NOR,Women,20KM,Bronze
1984,Sarajevo,Skiing,"JERIOVA, Kvetoslava",TCH,Women,5KM,Bronze
1984,Sarajevo,Skiing,"KIRVESNIEMI, Marja-Liisa",FIN,Women,4X5KM Relay,Bronze
1984,Sarajevo,Skating,"KLIMOVA, Marina",URS,Women,Ice Dancing,Bronze
1984,Sarajevo,Skiing,"KONZETT, Ursula",LIE,Women,Slalom,Bronze
1984,Sarajevo,Skiing,"MATIKAINEN, Marjo",FIN,Women,4X5KM Relay,Bronze
1984,Sarajevo,Skiing,"MeeTTe, Pirkko",FIN,Women,4X5KM Relay,Bronze
1984,Sarajevo,Luge,"OBERHOFFNER, Ute",GDR,Women,Singles,Bronze
1984,Sarajevo,Skiing,"PELEN, Perrine",FRA,Women,Giant Slalom,Bronze
1984,Sarajevo,Skating,"PETRUSEVA, Natalya",URS,Women,1000M,Bronze
1984,Sarajevo,Skating,"PETRUSEVA, Natalya",URS,Women,1500M,Bronze
1984,Sarajevo,Skiing,"PETTERSEN, Brit",NOR,Women,10KM,Bronze
1984,Sarajevo,Skating,"SELEZNYOVA, Larisa",URS,Women,Pairs,Bronze
1984,Sarajevo,Skating,"SHIVE, Natalya",URS,Women,500M,Bronze
2006,Turin,Ice Hockey,"DREYER, Pam",USA,Women,Ice Hockey,Bronze
1984,Sarajevo,Skating,"ZANGE, Gabi",GDR,Women,3000M,Bronze
2006,Turin,Ice Hockey,"DUNN-LUOMA, Tricia",USA,Women,Ice Hockey,Bronze
2006,Turin,Ice Hockey,"ENGSTROM, Molly",USA,Women,Ice Hockey,Bronze
1988,Calgary,Skating,"EHRIG, Andrea",GDR,Women,1500M,Bronze
1988,Calgary,Skating,"KANIA, Karin",GDR,Women,500M,Bronze
1988,Calgary,Skiing,"KINSHOFER GUETHLEIN, Christa",FRG,Women,Slalom,Bronze
1988,Calgary,Skiing,"KIRVESNIEMI, Marja-Liisa",FIN,Women,4X5KM Relay,Bronze
2006,Turin,Skiing,"FLETCHER, Rosey",USA,Women,Giant Parallel Slalom,Bronze
1988,Calgary,Skiing,"MATIKAINEN, Marjo",FIN,Women,10KM,Bronze
1988,Calgary,Skiing,"MATIKAINEN, Marjo",FIN,Women,4X5KM Relay,Bronze
1988,Calgary,Skiing,"MeeTTe, Pirkko",FIN,Women,4X5KM Relay,Bronze
2006,Turin,Ice Hockey,"GUNN, Chanda",USA,Women,Ice Hockey,Bronze
2006,Turin,Ice Hockey,"HAGERMAN, Jamie",USA,Women,Ice Hockey,Bronze
1988,Calgary,Skiing,"SAVOLAINEN, Jaana",FIN,Women,4X5KM Relay,Bronze
1988,Calgary,Luge,"SCHMIDT, Cerstin",GDR,Women,Singles,Bronze
1988,Calgary,Skiing,"SMETANINA, Raisa",URS,Women,20KM,Bronze
2006,Turin,Bobsleigh,"HOLLINGSWORTH-RICHARDS, Mellisa",CAN,Women,Individual,Bronze
1988,Calgary,Skiing,"VENCIENE, Vida",URS,Women,5KM,Bronze
1988,Calgary,Skiing,"WALLISER, Maria",SUI,Women,Alpine Combined,Bronze
1988,Calgary,Skiing,"WALLISER, Maria",SUI,Women,Giant Slalom,Bronze
2006,Turin,Ice Hockey,"INSALACO, Kim",USA,Women,Ice Hockey,Bronze
2006,Turin,Curling,"JENKINS, Sandra",CAN,Women,Curling,Bronze
1988,Calgary,Skating,"ZANGE, Gabi",GDR,Women,3000M,Bronze
1988,Calgary,Skating,"ZANGE, Gabi",GDR,Women,5000M,Bronze
