YEAR,CITY,SPORT,ATHLETE,COUNTRY,GENDER,EVENT,MEDAL
1976,Innsbruck,Skating,"HAMILL, Dorothy",USA,Women,Individual,Gold
1976,Innsbruck,Skating,"YOUNG, Sheila",USA,Women,500M,Gold
1984,Sarajevo,Skiing,"ARMSTRONG, Debbie",USA,Women,Giant Slalom,Gold
1988,Calgary,Skating,"BLAIR, Bonnie",USA,Women,500M,Gold
1992,Albertville,Skating,"BLAIR, Bonnie",USA,Women,1000M,Gold
1992,Albertville,Skating,"BLAIR, Bonnie",USA,Women,500M,Gold
1992,Albertville,Skating,"TURNER, Cathy",USA,Women,500M,Gold
1992,Albertville,Skiing,"WEINBRECHT, Donna",USA,Women,Moguls,Gold
1992,Albertville,Skating,"YAMAGUCHI, Kristi",USA,Women,Individual,Gold
1994,Lillehammer,Skating,"BLAIR, Bonnie",USA,Women,1000M,Gold
1994,Lillehammer,Skating,"BLAIR, Bonnie",USA,Women,500M,Gold
1994,Lillehammer,Skiing,"ROFFE, Diann",USA,Women,Super-G,Gold
1994,Lillehammer,Skating,"TURNER, Cathy",USA,Women,500M,Gold
1998,Nagano,Ice Hockey,"BAILEY, Chris",USA,Women,Ice Hockey,Gold
1998,Nagano,Ice Hockey,"BAKER, Laurie",USA,Women,Ice Hockey,Gold
1998,Nagano,Ice Hockey,"BLAHOSKI, Alana",USA,Women,Ice Hockey,Gold
1998,Nagano,Ice Hockey,"BROWN-MILLER, Lisa",USA,Women,Ice Hockey,Gold
1998,Nagano,Ice Hockey,"BYE, Karyn",USA,Women,Ice Hockey,Gold
1998,Nagano,Ice Hockey,"COYNE, Colleen",USA,Women,Ice Hockey,Gold
1998,Nagano,Ice Hockey,"DECOSTA, Sara",USA,Women,Ice Hockey,Gold
1998,Nagano,Ice Hockey,"DUNN-LUOMA, Tricia",USA,Women,Ice Hockey,Gold
1998,Nagano,Ice Hockey,"GRANATO, Cammi",USA,Women,Ice Hockey,Gold
1998,Nagano,Ice Hockey,"KING, Katie",USA,Women,Ice Hockey,Gold
1998,Nagano,Skating,"LIPINSKI, Tara",USA,Women,Individual,Gold
1998,Nagano,Ice Hockey,"LOONEY, Shelley",USA,Women,Ice Hockey,Gold
1998,Nagano,Ice Hockey,"MERZ, Sue",USA,Women,Ice Hockey,Gold
1998,Nagano,Ice Hockey,"MLECZKO, Allison",USA,Women,Ice Hockey,Gold
1998,Nagano,Ice Hockey,"MOUNSEY, Tara",USA,Women,Ice Hockey,Gold
1998,Nagano,Ice Hockey,"MOVSESSIAN, Vicki",USA,Women,Ice Hockey,Gold
1998,Nagano,Ice Hockey,"POTTER, Jenny",USA,Women,Ice Hockey,Gold
1998,Nagano,Ice Hockey,"RUGGIERO, Angela",USA,Women,Ice Hockey,Gold
1998,Nagano,Skiing,"STONE, Nikki",USA,Women,Aerials,Gold
1998,Nagano,Skiing,"STREET, Picabo",USA,Women,Super-G,Gold
1998,Nagano,Ice Hockey,"TUETING, Sarah",USA,Women,Ice Hockey,Gold
1998,Nagano,Ice Hockey,"ULION, Gretchen",USA,Women,Ice Hockey,Gold
1998,Nagano,Ice Hockey,"WHYTE, Sandra",USA,Women,Ice Hockey,Gold
2002,Salt Lake City,Bobsleigh,"BAKKEN, Jill",USA,Women,Two-Man,Gold
2002,Salt Lake City,Skiing,"CLARK, Kelly",USA,Women,Half-Pipe,Gold
2002,Salt Lake City,Bobsleigh,"FLOWERS, Vonetta",USA,Women,Two-Man,Gold
2002,Salt Lake City,Bobsleigh,"GALE, Tristan",USA,Women,Individual,Gold
2002,Salt Lake City,Skating,"HUGHES, Sarah",USA,Women,Individual,Gold
2002,Salt Lake City,Skating,"WITTY, Chris",USA,Women,1000M,Gold
2006,Turin,Skiing,"MANCUSO, Julia",USA,Women,Giant Slalom,Gold
2006,Turin,Skiing,"TETER, Hannah",USA,Women,Half-Pipe,Gold
2010,Vancouver,Skiing,"KEARNEY, Hannah",USA,Women,Moguls,Gold
2010,Vancouver,Skiing,"VONN, Lindsey",USA,Women,Downhill,Gold
2014,Sochi,Skiing,"ANDERSON, Jamie",USA,Women,Slopestyle,Gold
2014,Sochi,Skiing,"BOWMAN, Maddie",USA,Women,Ski Halfpipe,Gold
2014,Sochi,Skating,"DAVIS, Meryl",USA,Women,Ice Dancing,Gold
2014,Sochi,Skiing,"FARRINGTON, Kaitlyn",USA,Women,Half-Pipe,Gold
2014,Sochi,Skiing,"SHIFFRIN, Mikaela",USA,Women,Slalom,Gold
1994,Lillehammer,Skiing,"CHERYAZOVA, Lina",UZB,Women,Aerials,Gold
